date,twitter_tweets,twitter_impressions,twitter_engagements,twitter_retweets,twitter_replies,twitter_likes,twitter_userProfileClicks,twitter_UrlClicks,twitter_detailExpands,twitter_mediaViews,twitter_mediaEngagements,lastfm_songsPlayed,github_checkins,foursquare_checkins,outside_maxTemp,outside_minTemp,outside_meanTemp,outside_totalPrecip,bchydro_netConsumption,visa,google_searches,moves_steps,netflix
2015-01-01,1,110,3,0,0,0,0,2,1,0,0,45,0,1,5.2,-1.7,1.8,0,17.65,0,6,6696,3
2015-01-02,0,0,0,0,0,0,0,0,0,0,0,31,0,0,4,1.9,3,1.8,16.41,124.58,46,11087,1
2015-01-03,0,0,0,0,0,0,0,0,0,0,0,19,2,3,4.9,2,3.5,1.8,37.31,0,8,6213,1
2015-01-04,0,0,0,0,0,0,0,0,0,0,0,94,2,1,6.3,3.2,4.8,52,24.81,0,34,4132,2
2015-01-05,1,846,3,0,0,0,1,0,2,0,0,107,0,1,7.8,5.2,6.5,22.3,20.64,183.69,62,8641,0
2015-01-06,3,177,4,0,0,1,0,3,0,0,0,140,1,1,9.9,7,8.5,0,14.56,708.63,32,17848,0
2015-01-07,1,73,0,0,0,0,0,0,0,0,0,47,0,2,8.3,5.3,6.8,0,15.93,39.03,20,13797,0
2015-01-08,0,0,0,0,0,0,0,0,0,0,0,57,0,3,5.6,3.6,4.6,0,19.13,93.46,51,10187,0
2015-01-09,0,0,0,0,0,0,0,0,0,0,0,29,0,2,8.2,3.5,5.9,1.2,18.86,35.37,33,10110,2
2015-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.2,6.2,6.7,0.8,17.67,0,6,11833,0
2015-01-11,0,0,0,0,0,0,0,0,0,0,0,45,0,0,7.6,6.5,7.1,1.1,15.64,0,11,13464,0
2015-01-12,1,260,1,0,0,0,1,0,0,0,0,103,0,5,8.2,4.7,6.5,0,16.28,146.26,14,8116,0
2015-01-13,7,504,21,0,0,2,1,7,10,0,0,90,0,1,9,3.8,6.4,0,18.51,0,37,15178,0
2015-01-14,1,10,2,0,0,2,0,0,0,0,0,53,0,1,6.5,1.6,4.1,0,23.73,80.37,27,7797,1
2015-01-15,1,39,2,0,1,0,1,0,0,0,0,125,0,0,9.1,3.3,6.2,6.9,21.46,6.81,52,7600,0
2015-01-16,1,27,0,0,0,0,0,0,0,0,0,122,0,3,10.1,7.7,8.9,2.7,15.44,70.35,50,11453,0
2015-01-17,0,0,0,0,0,0,0,0,0,0,0,11,0,2,9.3,7.1,8.2,6.5,29.33,0,13,10981,0
2015-01-18,2,142,5,0,0,1,0,2,2,0,0,90,0,5,11.5,7.1,9.3,18.5,30.17,0,14,12354,1
2015-01-19,2,146,2,0,1,0,0,0,1,0,0,13,0,2,10.7,5.6,8.2,1,5.82,437.44,31,18187,4
2015-01-20,2,127,0,0,0,0,0,0,0,0,0,0,0,1,9.5,4.3,6.9,0,10.91,21.49,25,9204,2
2015-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.8,1.6,4.7,0,23.82,101.53,38,9307,3
2015-01-22,1,32,10,0,0,0,2,2,6,0,0,41,0,2,9,6.1,7.6,9.1,19.83,47.28,34,3250,5
2015-01-23,7,414,7,1,2,1,1,0,2,0,0,16,0,0,11.1,8.1,9.6,69,13.83,165.47,29,6021,0
2015-01-24,2,158,2,0,0,1,0,0,1,0,0,27,0,2,11.2,9.4,10.3,20.3,12.91,0,16,8015,0
2015-01-25,0,0,0,0,0,0,0,0,0,0,0,88,0,1,13.4,7.5,10.5,0,10.15,0,21,1609,1
2015-01-26,3,199,6,0,0,5,0,0,1,0,0,58,0,1,14.3,6.3,10.3,0,6.12,97.61,30,9640,2
2015-01-27,3,139,1,0,0,0,0,0,1,0,0,21,0,2,10.5,7.5,9,0,5.61,360,81,7030,0
2015-01-28,6,264,7,0,2,1,0,0,4,0,0,43,0,2,11.5,5.6,8.6,0,9.73,47.14,45,3646,0
2015-01-29,4,209,5,0,0,3,0,1,1,0,0,83,0,1,11,4.1,7.6,0,11.92,0,41,1874,0
2015-01-30,3,73,7,0,1,0,2,0,4,0,0,43,0,0,10.2,3.7,7,0,12.33,8.25,44,3638,0
2015-01-31,1,1863,3,1,0,0,0,1,1,0,0,29,0,5,7,3.2,5.1,0,13.56,0,20,9278,0
2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.4,6.6,7.5,5.6,12.59,0,18,3984,0
2015-02-02,3,227,2,0,0,0,1,1,0,0,0,41,0,0,8.6,7.2,7.9,5.9,12.24,161.74,85,2028,0
2015-02-03,6,1404,18,1,1,4,2,1,6,3,3,60,0,0,9,7.2,8.1,3.6,8.53,13.91,31,4483,0
2015-02-04,2,615,31,2,0,2,0,4,7,16,16,18,0,2,8.8,5.2,7,1.5,11.51,26.39,49,3149,0
2015-02-05,0,0,0,0,0,0,0,0,0,0,0,51,0,2,12.6,7.7,10.2,35.2,2.15,78.5,62,3464,0
2015-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.9,9.9,11.4,17.3,0.62,78.8,4,10697,0
